item,status,evidence,severity,required_action
"A. Ground segmentation","PASS","94/400 (23.5%) is used as a descriptive one-scene result; corrected T-2B figure is selected; old 40-frame null plot is explicitly prohibited.","NONE","None."
"B. Greedy vs Hungarian","PASS","CLAIM_CHECKLIST claim 1 states raw affinity >= greedy on 256/256 frames, +0.7%/+0.3% descriptive population deltas, and no T-3 GT accuracy measurement.","NONE","None."
"C. T-10 churn vs identity","PASS","Live pack uses Mahalanobis 592 and Euclidean 701 on the same 800-frame T-10 window; 505/725 is labeled as separate T-6 descriptive evidence.","NONE","None."
"D. GIoU","PASS","CLAIM_CHECKLIST and GLOSSARY scope the result to lowest HOTA and highest IDSW in both T-15 detector rows and warn against every-identity-metric wording.","NONE","None."
"E. T-15 association order","PASS","Both detector rows are represented as Mahalanobis > Euclidean > GIoU; detector-caused Euclidean/Mahalanobis reversal is explicitly rejected; T-10/T-15 protocol differences are noted.","NONE","None."
"F. KalmanNet fairness","PASS","T-9A.1 tuned KF 0.855388m and KalmanNet 0.853825m are consistently described as essentially tied on position.","NONE","None."
"G. Final KalmanNet v2","PASS","Position is a near-tie; velocity is v2 2.462247 vs v1 2.657082 and tuned KF 2.416395 m/s; no live v2-over-KF velocity-edge claim remains.","NONE","None."
"H. Fragmentation","PASS","T12_FULL 3.0645m and dense 1.476-1.478m support fragmented recurrent training as the dominant T-12-collapse cause.","NONE","None."
"I. Long-gap claim","PASS","Natural-gap superiority is not used as final evidence; controlled dropout is used to reject intrinsic KalmanNet long-gap superiority.","NONE","None."
"J. Training stability","PASS","Cold-start output_fc/gain-head gradient explosion, max_norm=10, and 10/10 validation are correct; 5-seed sweep is not used alone for the 10/10 claim.","NONE","None."
"K. Offline / ROS","PASS","Exact 0.0 difference is scoped to 3 sequences/157 frames including a 24-missing-frame sequence; plotting floor is disclosed; no fresh ROS GT claim.","NONE","None."
"L. CenterPoint detection","PASS_WITH_STALE_QA_NOTE","Main-slide uses visibly require 100% train/evaluation overlap — single scene; recall/localization/geometry are separated from lower precision/F1. EXPECTED_QA still says no held-out MORAI scene has ever been captured despite the new different-sequence camera bag.","MEDIUM","Say no labeled, disjoint CenterPoint evaluation dataset exists; do not say no other MORAI capture exists."
"M. CenterPoint tracking","PASS","Primary HOTA/AssA/IDF1/IDSW degradation is named; Frag/IDR exceptions prevent universal identity-metric wording.","NONE","None."
"N. Temporal jitter","PASS","0.288404m vs 0.463160m is retained and described as consistent with a contributor, not isolated causation.","NONE","None."
"O. Candidate density","PASS","7.49x/13.47x/5.47x and 5.47-13.47x are used; 4-30x survives only in explicit obsolete warnings or historical records.","NONE","None."
"P. Yaw interpretation","PASS","Measured yaw degradation is separated from the explicitly unmeasured convergence interpretation.","NONE","None."
"Q. Project counts","PASS","24 completed + blocked T-11B = 25 timeline entries; 8 engineering ledger entries / 7 narrative groups; no live 9-bug wording.","NONE","None."
"Main narrative thesis","PASS","Hungarian, Mahalanobis, KalmanNet, CenterPoint, and multi-factor T-15 evidence consistently support local-module improvement not guaranteeing system tracking improvement.","NONE","None."
"Camera bag identity","PASS","morai_cam4_20260813_163222 is consistently classified DIFFERENT-SEQUENCE from T-14/T-15 and as moving ego.","NONE","None."
"Camera bag facts","PASS_WITH_SCOPE_NOTE","ROS2 MCAP, 360.17s, four cameras, raw LiDAR, front-camera median 20.0ms, p95 39.1ms, 100% within 50ms, exact /tf_static extrinsic, and absent CameraInfo are supported.","LOW","Keep front-camera nearest-frame scope attached to the timing values."
"Camera calibration boundary","PASS","Intrinsics are explicitly reconstructed from resolution/HFOV under pinhole/no-distortion assumptions; projection is qualitative and not a calibrated benchmark.","NONE","None."
"Camera proof wording","FAIL","CAMERA_LIDAR_PRESENTATION_GUIDE lines 15-17 says direct visual proof that detections correspond to real recognizable objects; MASTER_SUMMARY lines 93-95 and EXPECTED_QA lines 179-181 repeat unqualified correspondence wording.","HIGH","Replace with projected boxes visually appear consistent/aligned with visible simulated scene objects or structures; retain qualitative/not-GT caveat."
"Camera churn count","FAIL","Selected plot and qualitative_case_manifest show 20 cumulative IDs: 18 short-lived plus two 20/20-frame IDs. NUMBER_CHECKLIST row 51 and CAMERA guide line 110 call the total 18 distinct IDs.","HIGH","State 20 total IDs, of which 18 are short-lived; never equate either count with GT IDSW."
"Camera real-world wording","CORRECTION_REQUIRED","Camera guide, master summary, storyline, and slide outlines use real vehicles/real driving scene for MORAI-rendered simulator imagery.","MEDIUM","Use visible simulated vehicles / separately captured MORAI scene."
"Camera old-metric separation","PASS","No T-14/T-15 value is assigned to a camera frame as a same-run result; IDSW=443 appears near camera text only in explicit do-not-validate warnings.","NONE","None."
"Camera main figure 1","PASS","projected_lidar_boxes_camera.png exists, is selected for setup, discloses reconstructed intrinsics/no CameraInfo in-image, and has DIFFERENT-SEQUENCE/qualitative caption requirements.","NONE","Retain the mandatory surrounding caveat."
"Camera main figure 2","PASS_WITH_CAPTION_CORRECTION","qualitative_tracking_failure.png exists and is selected for the climax; it is not camera GT and is different-sequence. Plot reaches 20 cumulative IDs and has no embedded different-sequence/not-GT text.","HIGH","Caption must say 20 total IDs, 18 short-lived, qualitative only, DIFFERENT-SEQUENCE, not GT IDSW."
"Camera summary figure","PASS","camera_lidar_final_summary.png remains appendix-only in the presentation pack; visual inspection confirms it is too dense for a main slide.","NONE","None."
