audit_item,status,evidence,remaining_action
"1. Candidate density","VERIFIED","Live pack wording uses 7.49x / 13.47x / 5.47x or 5.47-13.47x; 4-30x appears only in explicit warnings or historical audit records.","None."
"2. T-15 association ranking","VERIFIED","CLAIM_CHECKLIST row 4 and ONE_PAGE_CHEATSHEET lines 43-44 give Mahalanobis > Euclidean > GIoU for both detector rows and reject a detector-caused reversal.","None."
"3. T-10 churn comparison","VERIFIED","CLAIM_CHECKLIST row 5, FIGURE_SHORTLIST row 5, SLIDE_OUTLINE_20MIN lines 16-22, and ONE_PAGE_CHEATSHEET line 29 use 592 Mahalanobis / 701 Euclidean and separate T-6 505/725.","None."
"4. CenterPoint detection","VERIFIED","MASTER_SUMMARY lines 41-46 and CLAIM_CHECKLIST row 15 distinguish recall/localization/geometry gains from lower precision 7.94% vs 12.52% and F1 14.46% vs 21.29%, with full-overlap caveat.","None."
"5. KalmanNet v2","VERIFIED","MASTER_SUMMARY lines 30-39 and CHEATSHEET line 23 state position near-tie, v2 velocity improvement over v1, and v2 slightly behind tuned KF velocity (2.462 vs 2.416 m/s).","None."
"6. CenterPoint tracking","VERIFIED","MASTER_SUMMARY lines 47-49 and CLAIM_CHECKLIST row 16 name HOTA/AssA/IDF1/IDSW degradation and say Frag/IDR move differently.","None."
"7. GIoU","VERIFIED_WITH_WORDING_RISK","CLAIM_CHECKLIST row 4 gives the safe lowest-HOTA/highest-IDSW result in both T-15 rows; no live text says worst on every identity metric. GLOSSARY lines 53-55 and CLAIM_CHECKLIST row 3 remain broader than necessary.","Replace broad identity-instability phrasing with lowest HOTA / highest IDSW in both T-15 detector rows."
"8. Hungarian","NOT_CORRECTED","CLAIM_CHECKLIST row 2 still says Hungarian did not materially improve overall tracking behavior while its own evidence says T-3 measured no GT/accuracy. Frozen claim ledger says overall tracking accuracy is not supported.","State only 256/256 raw-affinity optimality plus the measured descriptive lifecycle/population deltas; say GT tracking accuracy was not measured."
"9. Temporal jitter","VERIFIED","EXPECTED_QA lines 113-129 and FIGURE_SHORTLIST row 19 preserve 0.463m vs 0.288m and explicitly deny isolated causality.","Use in-sample/train-scene wording consistently; update GLOSSARY line 110."
"10. CenterPoint yaw","VERIFIED","EXPECTED_QA lines 145-159 and NUMBER_CHECKLIST row 48 separate measured HOTA 0.05276->0.04994 / IDSW 537->546 from the unmeasured convergence interpretation.","None."
"11. Counts","NOT_CORRECTED","MASTER_SUMMARY lines 18-20 correctly says 24 completed + blocked T-11B; ENGINEERING_STORY says 8 ledger entries / 7 groups; TECHNICAL_APPENDIX_OUTLINE lines 123-128 still says 9 bugs.","Change the appendix count to 8 ledger entries summarized in 7 narrative groups."
"12. NUMBER_CHECKLIST precision labels","VERIFIED_WITH_CSV_ERROR","Header now separates verified_presentation_value from exact_canonical_value. Four data rows have 9 fields against the 8-column header due unquoted commas.","Quote comma-containing fields and validate every row has exactly 8 columns."
"13. Ground-segmentation figure","NOT_CORRECTED","Old 40-frame null plot is prohibited and new 400-frame figure is used, but the new figure/footer and FIGURE_SHORTLIST row 3 call -0.515 the mean on changed frames. Canonical T-2B means 11.97 OFF and 11.455 ON over all 400 frames.","Change caption to mean signed difference across all 400 frames; regenerate presentation-only PNG from the same published numbers."
"14. Gradient clipping figure","VERIFIED","Both slide outlines and FIGURE_SHORTLIST row 14 distinguish the 5-seed clip-value sweep from the separate 10/10 frozen-recipe validation.","None."
"15. Offline-online equivalence","VERIFIED","Both slide outlines and FIGURE_SHORTLIST row 15 state exact 0.0, disclose the log-axis floor, give 3-sequence/157-frame scope, and deny fresh ROS GT validation.","None."
"16. CenterPoint slides","PARTIAL","FIGURE_SHORTLIST rows 16-21 and 15-minute slides 10-11 require the exact visible sentence. In the 20-minute outline slides 16-18 only say Show overlap caveat; the literal sentence appears on slide 15, not each recommendation.","Repeat 100% train/evaluation overlap — single scene explicitly on each 20-minute T-14/T-15 slide recommendation."
"17. T-13","VERIFIED","No main-slide or figure recommendation uses T-13 metrics to validate/refute T-12; CHEATSHEET line 49 forbids that use. Storyline mention is limited to the disclosed actor-composition confound.","None."
"18. No new unsupported scientific claim","NOT_VERIFIED","The correction-created T-2B figure introduces the unsupported scope on changed frames for the -0.515 mean; canonical evidence defines it over the full 400-frame streams.","Correct the figure and its shortlist caption; no new experiment is needed."
"Secondary consistency: CLAIM_CHECKLIST CSV","CORRECTION_REQUIRED","Rows 5, 17, and 28 parse to 6 fields against a 5-column header.","Quote comma-containing fields and enforce fixed row width."
"Secondary consistency: NUMBER_CHECKLIST CSV","CORRECTION_REQUIRED","Rows 19, 32, 37, and 46 parse to 9 fields against an 8-column header.","Quote comma-containing fields and enforce fixed row width."
"Secondary consistency: FIGURE_SHORTLIST CSV","CORRECTION_REQUIRED","Rows 8, 10, 11, 17, 23, 24, 25, 27, and 28 parse to 7 or 8 fields against a 6-column header.","Quote comma-containing fields and enforce fixed row width."
"Main-slide safety","PARTIAL","15-minute outline is safe; 20-minute CenterPoint forensic slides rely on shorthand despite the exact-string requirement. Figure shortlist carries the correct mandatory text.","Make the exact overlap sentence local to every relevant slide recommendation."
"Appendix safety","CORRECTION_REQUIRED","T-13 scope is safe, but TECHNICAL_APPENDIX_OUTLINE retains the wrong 9-bug count.","Use 8 ledger entries / 7 narrative groups."
"Final verdict","PASS WITH CORRECTIONS","Most central numerical and scientific corrections are verified, but bounded material source-pack defects remain.","Apply the listed presentation-only text, CSV quoting, and figure-caption corrections; do not rerun experiments."
